id,name,category,area,address_ko,address_zh,lat,lng,description,route,opening_hours,tips,status,images,coord_method,coord_confidence,coord_source_url,coord_note
JW011,石村湖,spot,Songpa,서울특별시 송파구 신천동 32,,37.51189841,127.1042446,,,,,unknown,JW011-1.png,landmark_anchor,medium,https://www.songpa.go.kr/tour,以石村湖东侧观光信息中心作锚点；适合地图落点，不是整片湖泊几何中心
JW012,wikeo park west,cafe,Songpa,서울특별시 송파구 석촌동 158-5,,,,应该就是普通的冰美,,,,unknown,JW012-1.png,,,,
JW013,Seongsuil-ro-gil 60 街景,spot,Seongsu,,圣水洞二街 300-39,,,,,,更像机位/街景点，具体点位待确认,needs_location_confirm,JW013-1.png,,,,
JW014,渋谷中央支店旁巷子,spot,Shibuya,,みずほ銀行渋谷中央支店 旁边的巷子,,,,,,导航过去一下就能找到,unknown,JW014-1.png,,,,
JW015,플로피 (peullopi),cafe,Seongsu,서울특별시 성동구 성수동1가 656-544,,,,,,,店门口字母跟 Naver 上店名不一样，要注意看,unknown,"JW015-1.png,JW015-2.png",,,,
JW016,더우리곱창,restaurant,Jongno,서울 종로구 종로36나길 9,,37.5702015,127.0043835,《Nopogy》EP.17 #cravity 亨俊 & #kissoflife Natty,钟路五街站5号出口步行275m,每日10:00-22:00（每月第2、4、5周周日休息）,,unknown,"JW016-1.png,JW016-2.png,JW016-3.png",poi_verified,high,https://kr.maptons.com,더우리곱창门店精确点位
JW017,엉터리통닭,restaurant,Yongsan,서울 용산구 회나무로 38-1,,,,《Nopogy》EP.18 #nct #nct127 道英,绿莎坪站2号口步行708m,每天 15:00-02:30,人工点单，可打包，现金/银行卡；金道英/金廷祐老铺记同款炸鸡打卡,unknown,"JW017-1.png,JW017-2.png",,,,
JW018,소쇄원간장게장,restaurant,Gimpo,경기 김포시 금포로1915번길 53 소쇄원간장게장,,37.6992609117,126.6609407193,《Nopogy》EP.19 #ateez 星化 友荣 钟浩,在金浦市，无地铁直达,每日11:30-20:30（最后下单19:30）,每月有不固定休息日，建议提前确认,unknown,"JW018-1.png,JW018-2.png,JW018-3.png",poi_verified,high,https://maps.google.com/maps?q=37.6992609117%2C126.6609407193&z=16,门店“길찾기”链接直接给出坐标
JW019,은주정,restaurant,Jung-gu,서울 중구 창경궁로8길 32,,37.5686417,126.9997423,《Nopogy》EP.20 #nctdream 楷灿 志晟,乙支路四街站4号口步行223m,每日10:00-22:00（最后下单21:30）,一人份泡菜汤13:30后提供；烤五花肉晚上才提供,unknown,"JW019-1.png,JW019-2.png,JW019-3.png.png",poi_verified,high,https://kr.maptons.com/p/8771482571,은주정门店精确点位
JW020,닭으로가 압구정본점,restaurant,Gangnam,서울 강남구 언주로172길 55,,,,同款铁板鸡 金廷祐,,,,unknown,,,,,
JW021,纛岛炭烤排骨,restaurant,Seongsu,,首尔特别市 城东区 圣水洞一街 656-936,,,金廷祐同款烤肉店,,11:00-24:00,离 SM 非常近，走路 4 分钟,unknown,,,,,
